Age,Gender,Height_cm,Weight_kg,Desired_Weight_kg,Time_Period_weeks,BMI,BMR,Daily_Calories_Maintenance,Daily_Calories_Target,Breakfast,Lunch,Dinner,Snack
56,Male,178,63,56,9,19.88,1467.5,2274.62,1419.07,Greek yogurt,Sushi,Vegetable stir-fry,Protein bar
46,Male,194,85,72,9,22.58,1837.5,2848.12,1259.24,Smoothie,Burrito bowl,Chicken soup,Nuts and fruits
32,Male,195,72,61,24,18.93,1783.75,2764.81,2260.65,Oatmeal with fruits,Sushi,Steak with veggies,Protein bar
60,Male,159,115,107,19,45.49,1848.75,2865.56,2402.4,Smoothie,Burrito bowl,Salmon and quinoa,Nuts and fruits
25,Female,192,51,45,8,13.83,1424.0,2207.2,1382.2,Smoothie,Rice and beans,Tofu curry,Protein bar
38,Female,183,114,108,20,34.04,1932.75,2995.76,2665.76,Greek yogurt,Sushi,Salmon and quinoa,Nuts and fruits
56,Female,175,116,111,13,37.88,1812.75,2809.76,2386.69,Greek yogurt,Grilled chicken salad,Tofu curry,Nuts and fruits
36,Female,190,101,100,24,27.98,1856.5,2877.58,2831.74,Smoothie,Sushi,Vegetable stir-fry,Hummus with carrots
40,Male,198,111,113,21,28.31,2152.5,3336.38,3441.14,Eggs and toast,Rice and beans,Salmon and quinoa,Nuts and fruits
28,Male,152,72,59,10,31.16,1535.0,2379.25,949.25,Greek yogurt,Sushi,Chicken soup,Nuts and fruits
28,Male,155,75,80,6,31.22,1583.75,2454.81,3371.48,Pancakes,Burrito bowl,Steak with veggies,Hummus with carrots
41,Female,154,117,120,16,49.33,1766.5,2738.08,2944.32,Pancakes,Burrito bowl,Chicken soup,Cheese and crackers
53,Male,154,104,97,18,43.85,1742.5,2700.88,2273.1,Oatmeal with fruits,Rice and beans,Steak with veggies,Cheese and crackers
57,Female,196,55,46,23,14.32,1329.0,2059.95,1629.52,Smoothie,Pasta with veggies,Salmon and quinoa,Hummus with carrots
41,Female,172,84,88,22,28.39,1549.0,2400.95,2600.95,Eggs and toast,Burrito bowl,Salmon and quinoa,Dark chocolate
20,Male,198,71,66,6,18.11,1852.5,2871.38,1954.71,Oatmeal with fruits,Grilled chicken salad,Steak with veggies,Nuts and fruits
39,Male,158,92,94,7,36.85,1717.5,2662.12,2976.41,Smoothie,Rice and beans,Vegetable stir-fry,Nuts and fruits
19,Male,184,64,51,8,18.9,1700.0,2635.0,847.5,Greek yogurt,Sushi,Tofu curry,Hummus with carrots
41,Female,169,109,98,4,38.16,1780.25,2759.39,-265.61,Pancakes,Sushi,Chicken soup,Hummus with carrots
61,Male,198,61,64,7,15.56,1547.5,2398.62,2870.05,Eggs and toast,Grilled chicken salad,Chicken soup,Dark chocolate
47,Female,191,98,86,15,26.86,1777.75,2755.51,1875.51,Pancakes,Burrito bowl,Chicken soup,Cheese and crackers
55,Male,184,91,89,13,26.88,1790.0,2774.5,2605.27,Greek yogurt,Rice and beans,Salmon and quinoa,Protein bar
19,Female,199,87,74,24,21.97,1857.75,2879.51,2283.68,Smoothie,Grilled chicken salad,Chicken soup,Cheese and crackers
38,Female,167,94,95,23,33.71,1632.75,2530.76,2578.59,Greek yogurt,Burrito bowl,Tofu curry,Nuts and fruits
50,Male,166,84,83,16,30.48,1632.5,2530.38,2461.62,Greek yogurt,Rice and beans,Tofu curry,Hummus with carrots
29,Female,173,79,77,17,26.4,1565.25,2426.14,2296.73,Pancakes,Sushi,Steak with veggies,Dark chocolate
39,Female,152,79,80,8,34.19,1384.0,2145.2,2282.7,Eggs and toast,Rice and beans,Salmon and quinoa,Cheese and crackers
61,Male,181,55,44,7,16.79,1381.25,2140.94,412.37,Greek yogurt,Pasta with veggies,Tofu curry,Dark chocolate
42,Female,184,116,117,17,34.26,1939.0,3005.45,3070.16,Pancakes,Rice and beans,Vegetable stir-fry,Cheese and crackers
44,Male,187,56,58,13,16.01,1513.75,2346.31,2515.54,Eggs and toast,Pasta with veggies,Salmon and quinoa,Nuts and fruits
59,Female,162,101,88,20,38.48,1566.5,2428.08,1713.08,Smoothie,Rice and beans,Salmon and quinoa,Protein bar
45,Male,196,63,67,13,16.4,1635.0,2534.25,2872.71,Smoothie,Pasta with veggies,Tofu curry,Dark chocolate
33,Male,174,64,59,10,21.14,1567.5,2429.62,1879.62,Oatmeal with fruits,Sushi,Vegetable stir-fry,Dark chocolate
32,Female,158,70,63,19,28.04,1366.5,2118.08,1712.81,Pancakes,Burrito bowl,Steak with veggies,Protein bar
64,Female,153,84,75,4,35.88,1315.25,2038.64,-436.36,Eggs and toast,Pasta with veggies,Tofu curry,Dark chocolate
61,Female,163,115,109,20,43.28,1702.75,2639.26,2309.26,Greek yogurt,Pasta with veggies,Vegetable stir-fry,Dark chocolate
20,Female,186,51,46,24,14.74,1411.5,2187.83,1958.66,Smoothie,Sushi,Salmon and quinoa,Cheese and crackers
54,Female,183,84,83,12,25.08,1552.75,2406.76,2315.1,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Cheese and crackers
24,Male,160,69,70,9,26.95,1575.0,2441.25,2563.47,Pancakes,Grilled chicken salad,Salmon and quinoa,Protein bar
38,Female,190,59,48,22,16.34,1426.5,2211.08,1661.08,Oatmeal with fruits,Sushi,Tofu curry,Nuts and fruits
26,Male,152,74,60,16,32.03,1565.0,2425.75,1463.25,Smoothie,Grilled chicken salad,Tofu curry,Dark chocolate
56,Male,177,115,112,6,36.71,1981.25,3070.94,2520.94,Eggs and toast,Sushi,Chicken soup,Nuts and fruits
35,Female,178,74,66,10,23.36,1516.5,2350.58,1470.58,Eggs and toast,Pasta with veggies,Chicken soup,Protein bar
21,Male,158,103,97,25,41.26,1917.5,2972.12,2708.12,Eggs and toast,Grilled chicken salad,Chicken soup,Protein bar
42,Male,152,82,82,12,35.49,1565.0,2425.75,2425.75,Pancakes,Pasta with veggies,Tofu curry,Cheese and crackers
31,Male,174,85,74,25,28.08,1787.5,2770.62,2286.62,Pancakes,Sushi,Steak with veggies,Dark chocolate
26,Male,183,63,50,8,18.81,1648.75,2555.56,768.06,Pancakes,Pasta with veggies,Tofu curry,Hummus with carrots
43,Female,161,114,101,13,43.98,1770.25,2743.89,1643.89,Greek yogurt,Grilled chicken salad,Vegetable stir-fry,Protein bar
19,Male,191,103,93,20,28.23,2133.75,3307.31,2757.31,Eggs and toast,Grilled chicken salad,Tofu curry,Dark chocolate
37,Female,158,101,95,15,40.46,1651.5,2559.83,2119.83,Smoothie,Pasta with veggies,Tofu curry,Nuts and fruits
45,Female,164,52,46,19,19.33,1159.0,1796.45,1449.08,Pancakes,Rice and beans,Salmon and quinoa,Cheese and crackers
64,Male,189,90,76,6,25.2,1766.25,2737.69,171.02,Pancakes,Sushi,Salmon and quinoa,Nuts and fruits
24,Female,174,55,55,25,18.17,1356.5,2102.58,2102.58,Eggs and toast,Sushi,Salmon and quinoa,Protein bar
61,Female,154,74,76,12,31.2,1236.5,1916.58,2099.91,Pancakes,Pasta with veggies,Tofu curry,Protein bar
25,Female,160,62,62,18,24.22,1334.0,2067.7,2067.7,Greek yogurt,Rice and beans,Steak with veggies,Nuts and fruits
64,Male,183,57,52,8,17.02,1398.75,2168.06,1480.56,Greek yogurt,Grilled chicken salad,Vegetable stir-fry,Protein bar
52,Female,173,70,75,16,23.39,1360.25,2108.39,2452.14,Pancakes,Burrito bowl,Vegetable stir-fry,Dark chocolate
